Title,Question,Answer
Tips for grilling duck legs?,Tips for grilling duck legs?,I think grilling is probably a bad plan for duck legs
Tips for grilling duck legs?,What makes you say that?,"the fat content is a real danger like you said, and duck legs are tough enough you probably want to confit them or braise them"
Tips for grilling duck legs?,How long should I confit or braise them?,"If you absolutely have to grill them, I would suggest confiting them at 200 degrees for three or four hours first"
Tips for grilling duck legs?,At what temperature?,200 degrees
Tips for grilling duck legs?,Are there any other steps?,then resting them in the fridge for a day or so in oil
Tips for grilling duck legs?,What abouy the grilling process?,"cook flesh side down on a medium heat portion of the grill for a while until mostly heated through, then flip them over on a high heat portion of the grill to crisp up the skin"
Tips for grilling duck legs?,Tips for grilling duck legs?,I think grilling is probably a bad plan for duck legs
Tips for grilling duck legs?,What would you recommend as a cooking method to make the meat tender?,duck legs are tough enough you probably want to confit them or braise them
Tips for grilling duck legs?,How long should they be braised for?,I would suggest confiting them at 200 degrees for three or four hours
Tips for grilling duck legs?,would you recommend any sort of glaze?,CANNOTANSWER
Tips for grilling duck legs?,Tips for grilling duck legs?,I think grilling is probably a bad plan for duck legs
Tips for grilling duck legs?,Why is it a bad plan?,"the fat content is a real danger like you said, and duck legs are tough enough you probably want to confit them or braise them"
Tips for grilling duck legs?,Will this make the duck tough?,"If you absolutely have to grill them, I would suggest confiting them at 200 degrees for three or four hours first (you could use veggie oil in a pinch"
Tips for grilling duck legs?,How do I make them look appealing?,resting them in the fridge for a day or so in oil
Tips for grilling duck legs?,Do you have any other advice to make this melal not turn out as a disaster?,"As for finishing them on the grill, rinse them off gently, re-season if needed, cook flesh side down on a medium heat portion of the grill for a while until mostly heated through"
Tips for grilling duck legs?,Do I let them rest after they are cooked?,resting them in the fridge for a day or so in oil
Meaning of do not thaw for frozen food,Meaning of do not thaw for frozen food,it just means you do not need to thaw it before you cook it
Meaning of do not thaw for frozen food,and can i use the frozen food again after opening the package?,CANNOTANSWER
Meaning of do not thaw for frozen food,oh okay. am i supposed to wash frozen food after opening the package or can i cook it directly?,"So if you have frozen corn and want to put it in chili or soup, just throw the frozen corn directly in without thawing it"
Meaning of do not thaw for frozen food,should i put my opened packet into the freezer again if i don't want to use all of it?,CANNOTANSWER
Meaning of do not thaw for frozen food,how long do frozen food usually take to cook fully ?,CANNOTANSWER
Meaning of do not thaw for frozen food,Meaning of do not thaw for frozen food,"If it says do not thaw and to cook from frozen, it just means you do not need to thaw it before you cook it"
Meaning of do not thaw for frozen food,What happens if you thaw it?,CANNOTANSWER
what's a good technique for freezing blueberries?,what's a good technique for freezing blueberries?,Lay them out on a paper towel overnight so that the skins dry completely
what's a good technique for freezing blueberries?,Could I put them in the oven at 150 for an hour,"To bake with blueberries, thaw them by placing them in a mesh sieve or collander and running water over them until the water is clear off the bottom"
what's a good technique for freezing blueberries?,Which way would result in less exploded berries when the water in them freezes?,"Note that whenever you freeze fruit, the liquid will burst the cell walls as it thaws, causing the resulting berry to be mushier"
what's a good technique for freezing blueberries?,Can I use a food dehydrator before freezing them?,CANNOTANSWER
what's a good technique for freezing blueberries?,"Instead of freezing the blueberries, should I dry them more, then store them at room temperature?",CANNOTANSWER
what's a good technique for freezing blueberries?,Is there a reason why the blueberries shouldn't be put directly in the freezer without drying them first?,This gives the benefit of keeping the frozen blueberries from sticking together without needing lots of freezer space to do a quick freeze individually on a sheet pan
What can I use instead of clam juice?,What can I use instead of clam juice?,Fish sauce
What can I use instead of clam juice?,Is that suitable for someone who doesn't eat shellfish?,"It should be fine for the dietary restriction too; it's just made with anchovies, not an unknown blend of seafood, but of course check the label just in case"
What can I use instead of clam juice?,Do I use the same amount that I would have used of clam juice?,"You probably want to use less, though, maybe starting with 2-4 tablespoons, though I've seen recipes using more"
What can I use instead of clam juice?,Will it have the same consistency?,CANNOTANSWER
What can I use instead of clam juice?,Will it have the same flavour?,it should make a very good substitute
What can I use instead of clam juice?,What can I use instead of clam juice for a salad recipe?,"Fish sauce! I think the clam juice is probably already a substitute for fish sauce anyway, so it should make a very good substitute"
What can I use instead of clam juice?,Does it effect the flavor in any way?,CANNOTANSWER
What can I use instead of clam juice?,Is this a good substitution incase of a shellfish allergy?,CANNOTANSWER
What can I use instead of clam juice?,Does fish sauce have the same consistency as clam juice?,CANNOTANSWER
What can I use instead of clam juice?,What can I use instead of clam juice?,"Fish sauce! I think the clam juice is probably already a substitute for fish sauce anyway, so it should make a very good substitute"
What can I use instead of clam juice?,can the the ground beef be replaced with another meat ?,CANNOTANSWER
What can I use instead of clam juice?,will the fish sauce have a similar flavor and/or consistency contribution to the recipe?,"You probably want to use less, though, maybe starting with 2-4 tablespoons, though I've seen recipes using more"
What can I use instead of clam juice?,I'm cooking for somebody who doesn't eat shellfish so is the fish sause safe ?,"It should be fine for the dietary restriction too; it's just made with anchovies, not an unknown blend of seafood, but of course check the label just in case"
What can I use instead of clam juice?,can I replace the lime juice with lemon ?,CANNOTANSWER
What can I use instead of clam juice?,can ###can I omti the sugar ?,CANNOTANSWER
Am I missing something with Beer Can chicken?,Am I missing something with Beer Can chicken?###Do you have to use a specific beer?,"The beer has to have some flavour to it, don't use a light beer. Apple ciders (strong bow, perry's pear cider, black thorne) or a white wine/cooking cherry will also do the trick"
Am I missing something with Beer Can chicken?,Should I use a sauce also?,a white wine/cooking cherry will also do the trick
Am I missing something with Beer Can chicken?,Does it end up juicier than just marinading?,"The key to crispy skin and moist chicken is low heat on the BBQ, turn one side onto medium heat and put the chicken on the off side with the lid closed for 20 minutes per pound of chicken"
Am I missing something with Beer Can chicken?,Will it cook well in the oven as well?,CANNOTANSWER
Am I missing something with Beer Can chicken?,How long do I cook it in the oven?,20 minutes per pound of chicken
Am I missing something with Beer Can chicken?,Do I cover it with foil?,CANNOTANSWER
Do unopened bottles of Gin and Campari turn bad in extreme heat?,Do unopened bottles of Gin and Campari turn bad in extreme heat? I have just returned home and noticed I have left a bottle sitting in direct sunlight,"You may find that in the Campari some of the sugar may have crystalised. This may slightly affect the flavour, but it most certainly won't make it turn bad"
Do unopened bottles of Gin and Campari turn bad in extreme heat?,Would you suggest I put the Campari in the freezer?,"It won't turn bad, in fact it may make it last longer. You may have madeira-ized it"
Do unopened bottles of Gin and Campari turn bad in extreme heat?,Would I be able to add my own sugar in to the Campari if the sun damage has caused crystallisation to occur?,CANNOTANSWER
